"SkillName","NormalizedName","NameSource","RootPath","HasSkill","SkillPath","SkillSha256","HasManifest","ManifestPath","ManifestSha256","ManifestValid","ManifestNamePresent","ManifestError","AuditStatus"
"abductive-reasoning","abductive-reasoning","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\abductive-reasoning","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\abductive-reasoning\SKILL.md","A9D094AE97F809426B80B8C2851C62926B27BB682237C7D66546E1AFF84B556D","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\abductive-reasoning\manifest.json","FB3A050242099CE00CFB84462B287CD1E0D6F66DC746AA0C7606F9F6E81FEF56","True","True","","COMPLETE_CANDIDATE"
"abundance-minded-creator","abundance-minded-creator","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\abundance-minded-creator","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\abundance-minded-creator\SKILL.md","00B22C0D1B3DFAE43CC9DC620E96B96995FA7D696B16F4792F0553BD012C3D22","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\abundance-minded-creator\manifest.json","C9962A64BDE5EF6205ED62E3128A23756130BD5F555B42171997F6BFB839CA48","True","True","","COMPLETE_CANDIDATE"
"acceptance-criteria-definition","acceptance-criteria-definition","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\acceptance-criteria-definition","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\acceptance-criteria-definition\SKILL.md","FE9F75030FA0D8344FFB313CC71E9D4D30B81577D57B20B1125CCBFA23CB26DD","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\acceptance-criteria-definition\manifest.json","DCA10911F9E25EABF3A0EB16C78E75014FDAE9B5AE9D1914BD6FD5ED3744995E","True","True","","COMPLETE_CANDIDATE"
"accountability-champion","accountability-champion","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountability-champion","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountability-champion\SKILL.md","F0C4282D84BB3B537179B5ABD59971ED058CF32220ABF3A29337AA969EB0D7B7","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountability-champion\manifest.json","60E14F7C0BC13ABBFA03D6C14ECF934DBA9364EFEEC8867CF1A85586604A6C94","True","True","","COMPLETE_CANDIDATE"
"accountability-system-design","accountability-system-design","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountability-system-design","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountability-system-design\SKILL.md","F51F7E3E418EF1B5361CA63E41CF1BE526040565122857D93159FEFD7BC1A5AF","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountability-system-design\manifest.json","9C83198634F662CE8492CEBBE25DC88A154B3678B279FE2EA92029C97DD18F1B","True","True","","COMPLETE_CANDIDATE"
"accountant","accountant","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountant","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountant\SKILL.md","FB01E1C8A4A14CE5C50C7A2743BEAC47AF4B343031B6CCD1839707ACECE59A36","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\accountant\manifest.json","C3433C9A7A9A66E59547E2103B28066204BD143D0C7E109A6BFE7D0E59E33D46","True","True","","COMPLETE_CANDIDATE"
"account-executive","account-executive","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\account-executive","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\account-executive\SKILL.md","FE8FFDC341A25B938F51A321AE03BBF39B882ABE1769D9EB236CDE26B6C7D6A0","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\account-executive\manifest.json","150B277FE05492A7F913A8D8B41395AD27CD1A317FE2FCCDAD3CE29D63EEF3C2","True","True","","COMPLETE_CANDIDATE"
"action-item-tracking","action-item-tracking","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\action-item-tracking","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\action-item-tracking\SKILL.md","F8C70FE377DF1D39E15DB059784F62434EB5E38BF4D71243775CBBF7CD866F17","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\action-item-tracking\manifest.json","901DE8FE3599D1B6D4B76D2D0D7181472F50DEE9A3378056DDA7BAAE59F86118","True","True","","COMPLETE_CANDIDATE"
"active-listening","active-listening","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\active-listening","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\active-listening\SKILL.md","C1D2A2FD60DE7671F3D0B1F34D07A1C483F7DD24F63EEC46077DDC5AFBF1CA10","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\active-listening\manifest.json","C4159BF78C923C4FE8B3ED945BB69E82B7AF8BA9D62DC703A5B65CDC24D2024C","True","True","","COMPLETE_CANDIDATE"
"active-listening-in-negotiation","active-listening-in-negotiation","SKILL_FRONT_MATTER","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\active-listening-in-negotiation","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\active-listening-in-negotiation\SKILL.md","CEE8C48FFAE3693013FE63D9D3707C9DAA792FCE9528D6CE307A9CA51D557C68","True","C:\Users\Shadow\Documents\CLEMENT_STUDIO\09_Drive\Mega\skill\bibliotheque-900-skills-chatgpt\skills\active-listening-in-negotiation\manifest.json","325FEB9250AE8CA762E75D66500D9594F2F9F3BE77683BC8068A8F120DCD2A12","True","True","","COMPLETE_CANDIDATE"
